filename,lineno,func,prim_calls,total_calls,tottime,cumtime
traitlets.py,689,__get__,14,14,1.2811000000000002e-05,2.3043000000000003e-05
base_events.py,738,time,5,5,1.0214e-05,1.6270000000000002e-05
base_events.py,2017,get_debug,1,1,1.42e-07,1.42e-07
base_events.py,747,call_later,1,1,4.39e-06,3.1887e-05
encoder.py,183,encode,4,4,1.3490000000000001e-05,8.9268e-05
traitlets.py,720,__set__,1,1,4.454e-06,2.7567000000000002e-05
typing.py,1492,__subclasscheck__,2,2,8.172e-06,2.8472e-05
events.py,36,__init__,1,1,9.13e-06,1.1252e-05
__init__.py,183,dumps,4,4,1.6017000000000003e-05,0.000107094
encoder.py,105,__init__,4,4,1.8090000000000002e-06,1.8090000000000002e-06
traitlets.py,731,_validate,1,1,6.275e-06,1.8449000000000002e-05
typing.py,2187,cast,3,3,6.970000000000001e-07,6.970000000000001e-07
threading.py,1155,_wait_for_tstate_lock,1,1,3.2230000000000003e-06,4.454e-06
typing.py,392,inner,6,6,3.0881000000000005e-05,4.587e-05
typing.py,1285,__hash__,4,4,1.3018000000000001e-05,1.4989000000000002e-05
typing.py,1221,__instancecheck__,2,2,8.558e-06,3.703e-05
~,0,<built-in method _contextvars.copy_context>,1,1,1.98e-06,1.98e-06
threading.py,1222,is_alive,1,1,5.631e-06,1.0442000000000001e-05
enum.py,1543,_get_value,42,42,4.5286e-05,6.8644e-05
enum.py,1550,__or__,8,8,2.9001000000000002e-05,7.9404e-05
enum.py,1561,__and__,6,6,4.7613e-05,9.217200000000001e-05
enum.py,720,__call__,20,20,2.4776e-05,4.4197000000000004e-05
