filename,lineno,func,prim_calls,total_calls,tottime,cumtime,molecule
core.py,6607,isMaskedArray,36,36,5.0495000000000004e-05,6.0950000000000004e-05,H2
asyncio.py,200,_handle_events,2,2,8.808000000000001e-06,0.000968428,H2
asyncio.py,210,call_at,1,1,8.268000000000001e-06,4.4489e-05,H2
_twodim_base_impl.py,968,<genexpr>,108,108,0.000450807,0.0018995720000000002,H2
_linalg.py,493,inv,6,6,0.000244491,0.000436708,H2
_function_base_impl.py,343,iterable,72,72,7.090400000000001e-05,9.6632e-05,H2
_function_base_impl.py,245,_flip_dispatcher,1,1,1.9300000000000002e-07,1.9300000000000002e-07,H2
_function_base_impl.py,1320,_diff_dispatcher,13,13,3.468e-06,3.468e-06,H2
_arraysetops_impl.py,139,_unique_dispatcher,108210,108210,0.02261287,0.02261287,H2
fromnumeric.py,1959,nonzero,13,13,1.5501e-05,0.00043703800000000005,H2
fromnumeric.py,824,_argpartition_dispatcher,6,6,1.5320000000000001e-06,1.5320000000000001e-06,H2
fromnumeric.py,1081,_argsort_dispatcher,8,8,1.565e-06,1.565e-06,H2
fromnumeric.py,1204,_argmax_dispatcher,66,66,1.5648e-05,1.5648e-05,H2
fromnumeric.py,1398,_searchsorted_dispatcher,1,1,2.9500000000000003e-07,2.9500000000000003e-07,H2
fromnumeric.py,1635,_diagonal_dispatcher,12,12,2.95e-06,2.95e-06,H2
fromnumeric.py,1842,_ravel_dispatcher,2,2,3.92e-07,3.92e-07,H2
fromnumeric.py,1955,_nonzero_dispatcher,13,13,2.787e-06,2.787e-06,H2
fromnumeric.py,2250,_sum_dispatcher,207747,207747,0.042593329,0.042593329,H2
fromnumeric.py,2395,_any_dispatcher,30,30,7.578e-06,7.578e-06,H2
fromnumeric.py,2605,_cumsum_dispatcher,108186,108186,0.027316573,0.027316573,H2
fromnumeric.py,3063,_prod_dispatcher,65882,65882,0.018522584,0.018522584,H2
einsumfunc.py,1049,_einsum_dispatcher,636,636,0.000169549,0.000169549,H2
_stride_tricks_impl.py,354,<genexpr>,216,216,4.9148000000000004e-05,4.9148000000000004e-05,H2
_index_tricks_impl.py,778,__getitem__,1,1,3.0200000000000003e-07,3.0200000000000003e-07,H2
_linalg.py,123,_makearray,6,6,1.4567000000000001e-05,1.9303e-05,H2
_internal.py,537,_view_is_safe,2,2,1.1374000000000002e-05,1.1374000000000002e-05,H2
_type_check_impl.py,265,iscomplexobj,36,36,5.8154000000000006e-05,6.97e-05,H2
_type_check_impl.py,168,_is_type_dispatcher,36,36,8.205e-06,8.205e-06,H2
_stride_tricks_impl.py,30,_maybe_view_as_subclass,72,72,7.259700000000001e-05,7.259700000000001e-05,H2
_arraysetops_impl.py,327,reshape_uniq,1,1,1.0981e-05,6.337e-05,H2
_stride_tricks_impl.py,376,broadcast_to,72,72,0.000100562,0.001433667,H2
_function_base_impl.py,584,asarray_chkfinite,36,36,0.00045125400000000005,0.0008657370000000001,H2
_twodim_base_impl.py,34,_min_int,72,72,9.446400000000001e-05,0.00018707900000000002,H2
_stride_tricks_impl.py,372,_broadcast_to_dispatcher,72,72,1.5098e-05,1.5098e-05,H2
_linalg.py,489,_unary_dispatcher,6,6,1.416e-06,1.416e-06,H2
_linalg.py,2562,_norm_dispatcher,1,1,2.5000000000000004e-07,2.5000000000000004e-07,H2
_arraysetops_impl.py,131,_unpack_tuple,108210,108210,0.059299157000000005,0.098896962,H2
_linalg.py,128,isComplexType,12,12,8.608000000000001e-06,1.1159000000000001e-05,H2
_linalg.py,142,_realType,6,6,5.98e-06,1.1148e-05,H2
_linalg.py,192,_assert_stacked_2d,6,6,2.0814e-05,2.0814e-05,H2
_linalg.py,198,_assert_stacked_square,6,6,6.784000000000001e-06,6.784000000000001e-06,H2
numeric.py,1736,indices,36,36,0.000276958,0.0004954040000000001,H2
fromnumeric.py,2255,sum,207747,207747,0.398531203,1.8457694230000001,H2
numerictypes.py,288,issubclass_,131762,131762,0.12852681800000001,0.22788016900000002,H2
~,0,<method 'conj' of 'numpy.generic' objects>,90,90,0.000222918,0.000222918,H2
~,0,<method '__array_wrap__' of 'numpy.ndarray' objects>,6,6,3.6510000000000003e-06,3.6510000000000003e-06,H2
~,0,<method 'all' of 'numpy.ndarray' objects>,36,36,6.6103e-05,0.00039502600000000004,H2
~,0,<method 'argmax' of 'numpy.ndarray' objects>,66,66,0.000137963,0.000137963,H2
~,0,<method 'argpartition' of 'numpy.ndarray' objects>,6,6,9.919200000000001e-05,9.919200000000001e-05,H2
~,0,<method 'argsort' of 'numpy.ndarray' objects>,108201,108201,0.287234531,0.287234531,H2
~,0,<method 'astype' of 'numpy.ndarray' objects>,45,45,0.00043454800000000004,0.00043454800000000004,H2
~,0,<method 'conj' of 'numpy.ndarray' objects>,348,348,0.00017821000000000002,0.00017821000000000002,H2
~,0,<method 'copy' of 'numpy.ndarray' objects>,35471,35471,0.050397982,0.050397982,H2
~,0,<method 'cumsum' of 'numpy.ndarray' objects>,108186,108186,0.5005313100000001,0.5005313100000001,H2
~,0,<method 'diagonal' of 'numpy.ndarray' objects>,12,12,2.7176000000000002e-05,2.7176000000000002e-05,H2
~,0,<method 'flatten' of 'numpy.ndarray' objects>,108211,108211,0.133812195,0.133812195,H2
~,0,<method 'max' of 'numpy.ndarray' objects>,1,1,3.214e-06,1.4392e-05,H2
~,0,<method 'nonzero' of 'numpy.ndarray' objects>,13,13,0.000388445,0.000388445,H2
~,0,<method 'ravel' of 'numpy.ndarray' objects>,8,8,8.438000000000001e-06,8.438000000000001e-06,H2
~,0,<method 'reshape' of 'numpy.ndarray' objects>,309,309,0.000544953,0.0006753670000000001,H2
~,0,<method 'searchsorted' of 'numpy.ndarray' objects>,1,1,6.883000000000001e-06,6.883000000000001e-06,H2
~,0,<method 'sort' of 'numpy.ndarray' objects>,36,36,0.45915953800000003,0.45915953800000003,H2
~,0,<method 'transpose' of 'numpy.ndarray' objects>,80,80,8.731e-05,8.731e-05,H2
~,0,<method 'view' of 'numpy.ndarray' objects>,104,104,0.00019973200000000002,0.000312527,H2
~,0,<built-in method numpy.array>,91,91,0.00026366000000000003,0.00026366000000000003,H2
~,0,<built-in method numpy.asarray>,1047,1047,0.0008004,0.0008004,H2
~,0,<built-in method numpy.asanyarray>,216447,216447,0.052525765,0.052525765,H2
~,0,<built-in method numpy.ascontiguousarray>,1,1,0.001961748,0.001961748,H2
~,0,<built-in method numpy.arange>,146,146,0.000336498,0.000336498,H2
~,0,<built-in method numpy.zeros>,71128,71128,0.055933356000000004,0.055933356000000004,H2
~,0,<built-in method numpy._core._multiarray_umath.count_nonzero>,65881,65881,0.034807787,0.034807787,H2
