caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
fermion.py,428,_unique_with_order_preserved,_arraysetops_impl.py,144,unique,7,1.3847000000000001e-05,0.00011397700000000001,0.31290971300000003,2.492709907
counts.py,45,bit_array_to_arrays,_arraysetops_impl.py,144,unique,14,3.4711e-05,0.0,0.31290971300000003,2.492709907
_arraysetops_impl.py,144,unique,_arraysetops_impl.py,342,_unique1d,108209,1.3986822730000001,4.2917e-05,1.408784787,2.0508087560000003
~,0,<method 'poll' of 'select.epoll' objects>,_function_base_impl.py,1324,diff,1,5.4250000000000004e-05,5.7644000000000006e-05,0.000156649,0.000174057
_arraysetops_impl.py,342,_unique1d,_function_base_impl.py,1324,diff,12,0.000102399,0.00011641300000000001,0.000156649,0.000174057
linalg_helper.py,291,davidson1,linalg_helper.py,166,_fill_heff_hermitian,36,0.001065051,0.0014698860000000001,0.001065051,0.0014698860000000001
direct_spin1.py,549,_get_init_guess,numpy_helper.py,256,pack_tril,6,0.000141983,0.000186505,0.000141983,0.000186505
linalg_helper.py,291,davidson1,linalg_helper.py,1409,_qr,6,0.000258152,0.0008233740000000001,0.000258152,0.0008233740000000001
misc.py,677,check_sanity,misc.py,702,check_sanity,6,9.6773e-05,0.000129362,9.6773e-05,0.000129362
selected_ci.py,48,contract_2e,numpy_helper.py,478,take_2d,36,0.0017965910000000002,0.002779788,0.0017965910000000002,0.002779788
linalg_helper.py,291,davidson1,linalg_helper.py,1466,_sort_elast,30,0.001023304,0.001851895,0.001023304,0.001851895
linalg_helper.py,291,davidson1,linalg_helper.py,1490,_normalize_xt_,30,0.000803999,0.0009352680000000001,0.000803999,0.0009352680000000001
_decomp.py,284,eigh,_util.py,410,_asarray_validated,36,0.000251085,0.0013902370000000001,0.000251085,0.0013902370000000001
direct_spin1.py,920,eig,linalg_helper.py,291,davidson1,6,0.002791584,0.039971056000000005,0.002791584,0.039971056000000005
linalg_helper.py,291,davidson1,linalg_helper.py,1432,_outprod_to_subspace,72,0.0015782390000000002,0.002334075,0.0015782390000000002,0.002334075
